,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
66271,8592059,Blom,Blom,Blom,60.534780000000005,4.89044,S,BDG,NO,,46.0,4626.0,,,0,,13,Europe/Oslo,2019-12-12
379812,9503002,Blom,Blom,Blom,60.439859999999996,5.56496,S,FRM,NO,,46.0,4630.0,,,0,,1,Europe/Oslo,2019-12-12
380608,9535525,Bloms løkke,Bloms lokke,"Bloms lokke,Bloms løkke",59.42236,9.285630000000001,S,CMTY,NO,,38.0,3817.0,,,0,,98,Europe/Oslo,2019-12-12
36637,3160738,Bø,Bo,"Bo,Bon,Bö,Bøn",59.15387,8.8123,P,PPL,NO,NO,38.0,3815.0,,,0,,98,Europe/Oslo,2019-12-12
60670,8586452,Bøn,Bon,"Bon,Bøn",60.2922,11.21307,S,BDG,NO,,30.0,3035.0,,,0,,140,Europe/Oslo,2019-12-12
292520,9404282,Bøn,Bon,"Bon,Bøn",60.291340000000005,11.19862,P,PPLL,NO,,30.0,3035.0,,,0,,150,Europe/Oslo,2019-12-12
339860,9460116,Bøn,Bon,"Bon,Bøn",59.15181,6.18429,S,FRM,NO,,14.0,1133.0,,,0,,16,Europe/Oslo,2014-09-05
368907,9489315,Bøhn,Bohn,"Boen,Bohn,Bon,Bøen,Bøhn,Bøn",59.42755,11.44005,S,FRM,NO,,30.0,3016.0,,,0,,134,Europe/Oslo,2019-12-12
373007,9493418,Bøn,Bon,"Bon,Bøn",59.71748,11.56002,S,FRM,NO,,30.0,3026.0,,,0,,170,Europe/Oslo,2019-12-12
578440,9822060,Bøn,Bon,"Bon,Bøn",60.290580000000006,11.202580000000001,S,FRM,NO,,30.0,3035.0,,,0,,140,Europe/Oslo,2019-12-12
298372,9418519,Bring,Bring,Bring,60.96821,9.22612,S,FRM,NO,,34.0,3451.0,,,0,,355,Europe/Oslo,2019-12-12
308524,9428677,Brun,Brun,Brun,61.84185,8.96278,S,FRM,NO,,34.0,3435.0,,,0,,471,Europe/Oslo,2019-12-12
347100,9467362,Brun,Brun,Brun,61.95312,9.27469,S,FRM,NO,,34.0,3431.0,,,0,,470,Europe/Oslo,2019-12-12
38100,3162217,Bærøe,Baeroe,"Baere,Baero,Baerö,Bære",59.55494,10.93351,S,FRM,NO,NO,30.0,3014.0,,,0,,93,Europe/Oslo,2019-12-12
108268,9138173,Bære Knuden,Baere Knuden,"Baere Knuden,Bære Knuden",58.52548,6.33097,T,MT,NO,,14.0,1112.0,,,0,,451,Europe/Oslo,2014-06-08
139011,9203311,Bønn,Bonn,"Bonn,Bønn",68.32574,13.917320000000002,H,MOOR,NO,,9.0,1860.0,,,0,,260,Europe/Oslo,2014-07-13
415149,9572933,Dan,Dan,Dan,59.46852,11.616489999999999,H,MRSH,NO,,30.0,3013.0,,,0,,187,Europe/Oslo,2019-12-12
231881,9341484,Davids dam,Davids dam,Davids dam,59.666619999999995,9.5549,H,PND,NO,,30.0,3006.0,,,0,,604,Europe/Oslo,2019-12-12
15643,3139490,Sju søstre,Sju sostre,"De Syv Sostre,De Syv Søstre,Sju Sostre,Sju Systrer,Sju Søstre,Syv Sostre,Syv Søstre",65.93691,12.578669999999999,T,MT,NO,,9.0,1820.0,,,0,1072.0,620,Europe/Oslo,2014-02-27
55444,8532323,De døves kirke,De doves kirke,"De doves kirke,De døves kirke",59.929680000000005,10.72645,S,CH,NO,,12.0,301.0,,,0,,70,Europe/Oslo,2013-05-28
87624,9056481,De brente holmane,De brente holmane,De brente holmane,58.95,9.62557,T,ISLET,NO,,38.0,3813.0,,,0,,4,Europe/Oslo,2019-12-12
122355,9152322,De tre årene,De tre arene,"De tre arene,De tre årene",60.080980000000004,11.78102,H,RPDS,NO,,34.0,3415.0,,,0,,220,Europe/Oslo,2019-12-12
122678,9152645,De svarte render,De svarte render,De svarte render,59.32969,9.582310000000001,T,CLF,NO,,38.0,3812.0,,,0,,326,Europe/Oslo,2019-12-12
153146,9217702,De brente åsene,De brente asene,"De brente asene,De brente åsene",59.35853,9.81297,T,HLL,NO,,38.0,3805.0,,,0,,436,Europe/Oslo,2019-12-12
153706,9218263,De brente åsane,De brente asane,"De brente asane,De brente åsane",59.0864,10.05265,T,HLL,NO,,38.0,3805.0,,,0,,96,Europe/Oslo,2019-12-12
157178,9221753,De ukvilte åsene,De ukvilte asene,"De ukvilte asene,De ukvilte åsene",58.6542,9.08435,T,HLL,NO,,42.0,4213.0,,,0,,52,Europe/Oslo,2019-12-12
157538,9222113,De syv søstre,De syv sostre,"De syv sostre,De syv søstre",58.52927,8.84637,T,HLL,NO,,42.0,4203.0,,,0,,98,Europe/Oslo,2019-12-12
182096,9247294,De brendte fjella,De brendte fjella,De brendte fjella,59.36186,9.78121,T,HLL,NO,,38.0,3805.0,,,0,,569,Europe/Oslo,2019-12-12
182103,9247301,De brendte åsane,De brendte asane,"De brendte asane,De brendte åsane",59.347409999999996,9.81397,T,HLL,NO,,38.0,3805.0,,,0,,527,Europe/Oslo,2019-12-12
217329,9326710,De runde tjenna,De runde tjenna,De runde tjenna,59.69415,11.74422,H,PND,NO,,30.0,3026.0,,,0,,290,Europe/Oslo,2019-12-12
233804,9343462,De tre vestre tjønnene,De tre vestre tjonnene,"De tre vestre tjonnene,De tre vestre tjønnene,Tveitetjonnane,Tveitetjønnane",58.29453,8.21598,H,PND,NO,,42.0,4216.0,,,0,,153,Europe/Oslo,2019-12-12
275005,9385472,De fire haugan,De fire haugan,De fire haugan,68.97061,19.16386,T,HLL,NO,,54.0,5418.0,,,0,,522,Europe/Oslo,2019-12-12
389797,9547342,De grønne myrane,De gronne myrane,"De gronne myrane,De grønne myrane",59.320840000000004,10.01552,H,MRSH,NO,,38.0,3804.0,,,0,,226,Europe/Oslo,2019-12-12
389971,9547516,De høye myrer,De hoye myrer,"De hoye myrer,De høye myrer",59.25747,9.87487,H,MRSH,NO,,38.0,3805.0,,,0,,402,Europe/Oslo,2019-12-12
390013,9547558,De store myrene,De store myrene,De store myrene,59.44031,9.9079,H,MRSH,NO,,38.0,3805.0,,,0,,457,Europe/Oslo,2019-12-12
390264,9547809,De lange myrane,De lange myrane,De lange myrane,59.215959999999995,9.93262,H,MRSH,NO,,38.0,3805.0,,,0,,226,Europe/Oslo,2019-12-12
390308,9547853,De store myrane,De store myrane,De store myrane,59.232769999999995,9.98528,H,MRSH,NO,,38.0,3805.0,,,0,,100,Europe/Oslo,2019-12-12
390310,9547855,De lange myrane,De lange myrane,De lange myrane,59.23856,10.015889999999999,H,MRSH,NO,,38.0,3805.0,,,0,,250,Europe/Oslo,2019-12-12
398345,9555955,De store myrane,De store myrane,De store myrane,60.09225,9.62776,H,MRSH,NO,,30.0,3045.0,,,0,,380,Europe/Oslo,2019-12-12
408077,9565785,De leberske myrer,De leberske myrer,De leberske myrer,66.39236,12.86177,H,MRSH,NO,,9.0,1834.0,,,0,,20,Europe/Oslo,2014-09-17
409961,9567680,De Røde Multer,De Rode Multer,"De Rode Multer,De Røde Multer",60.03923,11.82237,H,MRSH,NO,,34.0,3416.0,,,0,,320,Europe/Oslo,2019-12-12
415163,9572947,De lange myrene,De lange myrene,De lange myrene,59.496080000000006,11.56432,H,MRSH,NO,,30.0,3013.0,,,0,,227,Europe/Oslo,2019-12-12
424170,9582091,De store myrene,De store myrene,De store myrene,60.32342,11.48595,H,MRSH,NO,,34.0,3414.0,,,0,,360,Europe/Oslo,2019-12-12
