,_name,country,postcode,_type,lat,lng
93,Boston,USA,75570,village,33.4415086,-94.4196452
94,Boston,USA,40023,village,38.237292700000005,-85.4352363
95,Boston,USA,23420,village,37.609298700000004,-75.84270959999999
96,Boston,United Kingdom,PE21 8RN,station,52.9781191,-0.0311968
97,Boston,Colombia,,neighbourhood,4.7997644,-75.6964043
98,Boston,USA,15135,village,40.3120141,-79.82310240000001
99,Boston,USA,,village,40.0759005,-82.2270897
100,Breidablik,Norway,5701,farm,60.6110083,6.4209860999999995
101,Breidablik,Belgium,2330,building,51.3947845,4.896503900000001
102,Breidablik,Denmark,7860,building,56.61698199999999,8.728212
103,Breidablik,Norway,,road,60.4660419,6.125592
104,Breidablik,Faroe Islands,100,road,62.0185223,-6.7587494999999995
105,Breidablik,Iceland,,road,65.1479647,-13.6752986
106,Breidablik,Iceland,601,road,65.661046,-18.035397399999997
107,Breidablik,Iceland,545,building,65.8246522,-20.3082349
108,Breidablik,Iceland,,fuel,64.84371329999999,-22.653904
109,Breidablik,Norway,,city,60.816669999999995,9.58333
110,Byen,Norway,7020,village,63.42150329999999,10.3579736
111,Byen,Norway,,village,59.241497200000005,8.2687417
112,Byen,Norway,,village,61.112929599999994,10.4788037
113,Byen,Denmark,9800,artwork,57.4564605,9.994819
114,Byen,Turkey,34080,clothes,41.0229194,28.943661199999998
115,Byen,Norway,,county,58.21705,7.83476
116,Bygdø,Norway,0287,road,59.90715229999999,10.6796457
117,Chicago,USA,,city,41.875561600000005,-87.6244212
118,Chicago,United Kingdom,GU6 8GP,raceway,51.1163375,-0.5411583000000001
119,Chicago,Philippines,,village,13.395999999999999,121.0984
120,Chicago,Belize,,village,17.8149465,-88.3115477
121,Chicago,France,60160,village,49.2638997,2.4282392
122,Chicago,Spain,43870,village,40.6540094,0.7234448
123,Chicago,RSA,7646,neighbourhood,-33.71745,18.996316699999998
124,Chicago,France,97300,neighbourhood,4.9324371,-52.331324
125,Chicago,Canada,,neighbourhood,43.5891995,-79.6489757
126,Chicago,D.R.,2200,neighbourhood,18.4172472,-68.9756563
127,Christiania,Norway,0026,city,59.913330099999996,10.7389701
128,Christiania,Denmark,1441,attraction,55.67576379999999,12.6076351
129,Christiania,Denmark,1440,building,55.674136,12.60351
130,Christiania,Denmark,1441,building,55.681599,12.613446000000001
131,Christiania,Denmark,1440,building,55.68190799999999,12.610925
132,Christiania,Denmark,1440,building,55.67842099999999,12.610914999999999
133,Christiania,Denmark,1440,building,55.675630000000005,12.606176
134,Christiania,Denmark,1432,building,55.6816204,12.613489900000001
135,Christiania,Slovakia,080 01,cafe,48.9991651,21.2390307
136,Christiania,France,74110,building,46.185646999999996,6.696133199999999
137,Danmark,Denmark,,country,55.670249,10.333328300000002
138,Danmark,Sweden,,islet,57.9499378,11.5493103
139,Danmark,Sweden,,islet,57.949967099999995,11.632794800000001
140,Danmark,Norway,,farm,59.641025,11.1505222
141,Danmark,Norway,3268,village,59.0526064,9.9212662
142,Danmark,Norway,3270,farm,59.1104278,10.06325
143,Danmark,Norway,,islet,59.3015944,10.692182699999998
144,Danmark,Norway,,islet,59.0525929,9.9212469
145,Danmark,Denmark,,islet,54.9678836,10.468930499999999
146,Danmark,Sweden,757 56,village,59.8322934,17.744172
147,Doppen,Denmark,9970,road,57.5097998,10.4639569
148,Drammen,Norway,3017,city,59.743674899999995,10.204374900000001
149,Drammen,Norway,,county,59.728058700000005,10.1790465
150,Drammen,Norway,,peak,61.263446900000005,10.9444006
151,Drammen,Norway,,county,59.76333879999999,10.0292002
152,Drammen,Norway,,county,59.6161642,10.3729385
153,Drammen,Norway,3017,station,59.74015670000001,10.203823
154,Drammen,Norway,3044,railway,59.74014720000001,10.2056058
155,Drammen,Norway,8870,viewpoint,65.78988589999999,12.618341000000001
156,Drammen,Norway,4515,bay,57.995838899999995,7.4885
157,Drøbak,Norway,,city,59.6633333,10.631111099999998
158,Drøbak,Norway,1440,city,59.6633194,10.629738900000001
159,Drøbak,Norway,1440,information,59.6631226,10.6332795
160,Drøbak,Norway,1443,marina,59.6774873,10.6199031
161,Drøbak,Norway,1443,ferry_terminal,59.67013000000001,10.622872300000001
162,Drøbak,Norway,1440,ferry_terminal,59.660984400000004,10.627730999999999
163,Dubrovnik,Croatia,20000,city,42.6499651,18.093652
164,Dubrovnik,Montenegro,,peak,43.163188299999995,18.9667733
165,Dubrovnik,Bulgaria,9000,road,43.222438000000004,27.9249224
166,Dubrovnik,Chile,9010290,road,-33.42664310000001,-70.7410327
167,Dubrovnik,Poland,61-835,restaurant,52.4076676,16.9329982
168,Dubrovnik,Croatia,20107,ferry_terminal,42.657877299999996,18.085718
169,Dubrovnik,Bulgaria,9000,supermarket,43.2210178,27.924813099999998
170,Dubrovnik,Germany,21073,restaurant,53.4602157,9.979803599999999
171,Dubrovnik,Germany,45355,restaurant,51.4740261,6.951380599999999
172,Dubrovnik,Germany,22119,restaurant,53.5488986,10.1087362
173,Egersund,Norway,4370,city,58.4518952,5.999996299999999
174,Egersund,Norway,4370,station,58.461243,6.0019004
175,Egersund,Norway,4370,railway,58.461351,6.0023805
176,Elverum,Norway,,county,60.9728025,11.7344421
177,Elverum,Norway,2408,city,60.88296329999999,11.560238400000001
178,Elverum,Norway,,village,69.059986,19.510935500000002
179,Elverum,Norway,5462,farm,59.9128389,5.7933889
180,Elverum,Norway,1870,farm,59.4932694,11.695169400000001
181,Elverum,Norway,3089,village,59.513402799999994,10.2110722
